,Filename,Predictions,class_index
0,prediction/10004.jpg,buildings,0
1,prediction/10005.jpg,glacier,2
2,prediction/10012.jpg,glacier,2
3,prediction/10013.jpg,forest,1
4,prediction/10017.jpg,mountain,3
5,prediction/10021.jpg,mountain,3
6,prediction/1003.jpg,street,5
7,prediction/10034.jpg,buildings,0
8,prediction/10038.jpg,sea,4
9,prediction/10040.jpg,mountain,3
10,prediction/10043.jpg,buildings,0
11,prediction/10045.jpg,glacier,2
12,prediction/10047.jpg,sea,4
13,prediction/10048.jpg,sea,4
14,prediction/10052.jpg,sea,4
15,prediction/10054.jpg,sea,4
16,prediction/10059.jpg,sea,4
17,prediction/10060.jpg,buildings,0
18,prediction/10066.jpg,forest,1
19,prediction/10069.jpg,forest,1
20,prediction/10073.jpg,glacier,2
21,prediction/10079.jpg,glacier,2
22,prediction/1008.jpg,mountain,3
23,prediction/10082.jpg,sea,4
24,prediction/10083.jpg,forest,1
25,prediction/10090.jpg,street,5
26,prediction/10092.jpg,sea,4
27,prediction/10096.jpg,forest,1
28,prediction/101.jpg,street,5
29,prediction/10100.jpg,forest,1
30,prediction/10101.jpg,street,5
31,prediction/10102.jpg,mountain,3
32,prediction/10106.jpg,sea,4
33,prediction/10109.jpg,forest,1
34,prediction/10119.jpg,forest,1
35,prediction/10124.jpg,mountain,3
36,prediction/10127.jpg,forest,1
37,prediction/10129.jpg,sea,4
38,prediction/10132.jpg,glacier,2
39,prediction/10133.jpg,forest,1
40,prediction/10147.jpg,glacier,2
41,prediction/10157.jpg,sea,4
42,prediction/10158.jpg,glacier,2
43,prediction/10159.jpg,sea,4
44,prediction/1016.jpg,street,5
45,prediction/10164.jpg,sea,4
46,prediction/10166.jpg,sea,4
47,prediction/10168.jpg,sea,4
48,prediction/10169.jpg,glacier,2
49,prediction/10171.jpg,mountain,3
50,prediction/10173.jpg,buildings,0
51,prediction/10175.jpg,buildings,0
52,prediction/10178.jpg,forest,1
53,prediction/10179.jpg,forest,1
54,prediction/1018.jpg,sea,4
55,prediction/10187.jpg,forest,1
56,prediction/10190.jpg,street,5
