,Filename,Predictions,class_index
0,prediction/10004.jpg,sea,4
1,prediction/10005.jpg,glacier,2
2,prediction/10012.jpg,glacier,2
3,prediction/10013.jpg,glacier,2
4,prediction/10017.jpg,street,5
5,prediction/10021.jpg,glacier,2
6,prediction/1003.jpg,mountain,3
7,prediction/10034.jpg,street,5
8,prediction/10038.jpg,mountain,3
9,prediction/10040.jpg,glacier,2
10,prediction/10043.jpg,mountain,3
11,prediction/10045.jpg,buildings,0
12,prediction/10047.jpg,street,5
13,prediction/10048.jpg,street,5
14,prediction/10052.jpg,forest,1
15,prediction/10054.jpg,forest,1
16,prediction/10059.jpg,forest,1
17,prediction/10060.jpg,forest,1
18,prediction/10066.jpg,sea,4
19,prediction/10069.jpg,glacier,2
20,prediction/10073.jpg,glacier,2
21,prediction/10079.jpg,street,5
22,prediction/1008.jpg,mountain,3
23,prediction/10082.jpg,street,5
24,prediction/10083.jpg,sea,4
25,prediction/10090.jpg,glacier,2
26,prediction/10092.jpg,forest,1
27,prediction/10096.jpg,glacier,2
28,prediction/101.jpg,mountain,3
29,prediction/10100.jpg,mountain,3
30,prediction/10101.jpg,forest,1
31,prediction/10102.jpg,forest,1
32,prediction/10106.jpg,forest,1
33,prediction/10109.jpg,street,5
34,prediction/10119.jpg,sea,4
35,prediction/10124.jpg,forest,1
36,prediction/10127.jpg,street,5
37,prediction/10129.jpg,glacier,2
38,prediction/10132.jpg,forest,1
39,prediction/10133.jpg,buildings,0
40,prediction/10147.jpg,buildings,0
41,prediction/10157.jpg,buildings,0
42,prediction/10158.jpg,glacier,2
43,prediction/10159.jpg,mountain,3
44,prediction/1016.jpg,mountain,3
45,prediction/10164.jpg,mountain,3
46,prediction/10166.jpg,street,5
47,prediction/10168.jpg,forest,1
48,prediction/10169.jpg,glacier,2
49,prediction/10171.jpg,buildings,0
50,prediction/10173.jpg,mountain,3
51,prediction/10175.jpg,mountain,3
52,prediction/10178.jpg,glacier,2
53,prediction/10179.jpg,sea,4
54,prediction/1018.jpg,mountain,3
55,prediction/10187.jpg,mountain,3
56,prediction/10190.jpg,buildings,0
57,prediction/10199.jpg,glacier,2
58,prediction/1020.jpg,glacier,2
59,prediction/10201.jpg,forest,1
60,prediction/10208.jpg,glacier,2
61,prediction/10209.jpg,street,5
62,prediction/10211.jpg,mountain,3
63,prediction/10212.jpg,buildings,0
64,prediction/10225.jpg,street,5
65,prediction/10226.jpg,forest,1
66,prediction/10232.jpg,street,5
67,prediction/10233.jpg,glacier,2
68,prediction/10241.jpg,sea,4
69,prediction/10243.jpg,sea,4
70,prediction/10244.jpg,street,5
71,prediction/10246.jpg,street,5
72,prediction/10247.jpg,street,5
73,prediction/10253.jpg,sea,4
74,prediction/1026.jpg,glacier,2
75,prediction/10261.jpg,mountain,3
76,prediction/10269.jpg,mountain,3
77,prediction/10270.jpg,street,5
78,prediction/10272.jpg,street,5
79,prediction/10276.jpg,buildings,0
80,prediction/10277.jpg,forest,1
81,prediction/10282.jpg,mountain,3
82,prediction/10284.jpg,forest,1
83,prediction/10286.jpg,mountain,3
84,prediction/10287.jpg,mountain,3
85,prediction/10288.jpg,buildings,0
86,prediction/10290.jpg,mountain,3
87,prediction/10292.jpg,street,5
88,prediction/10293.jpg,street,5
89,prediction/103.jpg,sea,4
90,prediction/10302.jpg,street,5
91,prediction/10305.jpg,mountain,3
92,prediction/10307.jpg,buildings,0
93,prediction/10308.jpg,street,5
94,prediction/10311.jpg,glacier,2
95,prediction/10321.jpg,mountain,3
96,prediction/10333.jpg,glacier,2
97,prediction/10336.jpg,glacier,2
98,prediction/10339.jpg,street,5
99,prediction/10340.jpg,sea,4
100,prediction/10342.jpg,buildings,0
101,prediction/10352.jpg,street,5
102,prediction/10356.jpg,buildings,0
103,prediction/1036.jpg,glacier,2
104,prediction/10360.jpg,glacier,2
105,prediction/10363.jpg,mountain,3
106,prediction/10366.jpg,mountain,3
107,prediction/1037.jpg,buildings,0
108,prediction/10371.jpg,buildings,0
109,prediction/10375.jpg,glacier,2
110,prediction/10377.jpg,street,5
111,prediction/10381.jpg,mountain,3
112,prediction/10388.jpg,mountain,3
